id,nombre,subregion,altitud_msnm,temperatura_c,distancia_medellin_km,tiempo_medellin,coordenadas,como_llegar,historia,atractivos,gastronomia,festividades,tipo_via,dificultad_moto,tips_moto,poblacion,notas_adicionales,updated_at,nombre_norm
san-rafael,San Rafael,Oriente,900,26,85,2h,"{'lat': 6.2942, 'lng': -75.0228}","Desde Medellín por El Santuario o por Guatapé, bajando hacia el oriente.","Fundado en 1778. Zona de descenso hacia el Magdalena, con ríos caudalosos y clima cálido. El embalse Playas y el río Nare son sus principales atractivos. Zona de pesca y deportes de río. Fue territorio de conflicto, hoy reconvertido al turismo.","['Embalse Playas (Río Nare)', 'Río Nare', 'Cascada El Salto', 'Tubing', 'Pesca deportiva', 'Playa Santa Marta', 'Senderos ribereños']","['Sancocho de pescado', 'Mojarra frita', 'Plátano', 'Yuca', 'Frutas tropicales', 'Guarapo de caña']","['Fiestas del Río Nare', 'Fiestas patronales San Rafael Arcángel (octubre)', 'Festival de Pesca']","Carretera regional, curvas pronunciadas en descenso, buen pavimento.",media,Zona caliente (26-30°C). Lleva ropa ligera y repelente. Las represas del Nare son espectaculares pero con acceso restringido. Pescado fresco en los restaurantes de la vía.,15000,,2026-07-14 12:03:11.391593+00,san rafael
san-roque,San Roque,Nordeste,1200,21,90,2h,"{'lat': 6.5167, 'lng': -75.0333}","Desde Medellín por la Autopista Medellín-Bogotá, desvío antes de El Santuario.",Fundado en 1774. Municipio ganadero y cafetero del Nordeste sur. Zona de clima templado. Parque principal tradicional. Punto de entrada al Nordeste desde el oriente antioqueño.,"['Parque principal', 'Cultivos de café', 'Ganadería', 'Quebradas', 'Miradores']","['Frijoles', 'Sancocho de gallina', 'Café', 'Mazamorra', 'Chicharrón']","['Fiestas patronales San Roque (agosto)', 'Feria Agropecuaria']",Carretera departamental en buen estado.,media,San Roque: portal de entrada al Nordeste. Buena gasolina y alimentación.,28000,,2026-07-14 12:08:51.077731+00,san roque
san-vicente,San Vicente Ferrer,Oriente,2200,16,50,1h10min,"{'lat': 6.2992, 'lng': -75.3343}",Desvío desde la vía a Guarne o desde Rionegro hacia el norte del Oriente.,Fundado en 1757. Municipio cafetero y ganadero del norte del Oriente antioqueño. Conserva arquitectura republicana y tradición cafetera. Sus veredas tienen vistas espectaculares hacia el Valle de Aburrá y el Oriente.,"['Parque principal', 'Iglesia San Vicente Ferrer', 'Veredas cafeteras', 'Miradores naturales', 'Quebradas y nacimientos de agua']","['Frijoles de carga', 'Café de la región', 'Trucha', 'Mazamorra', 'Chicharrón', 'Cuajada con panela']","['Fiestas patronales San Vicente Ferrer (abril)', 'Festival del Café', 'Feria Agroindustrial']",Carretera departamental bien pavimentada con curvas moderadas.,facil,"Municipio tranquilo, buena para ruta de un día combinando con Guarne y Marinilla. Excelente café de la región.",18000,,2026-07-14 12:03:11.391593+00,san vicente ferrer
santa-barbara,Santa Bárbara,Suroeste,1700,18,75,1h30min,"{'lat': 5.8732, 'lng': -75.5696}","Desde Medellín por Autopista Sur-Caldas-La Pintada y vía departamental, o por Fredonia.",Fundado en 1830. Municipio cafetero bien comunicado con Medellín. Parque principal tradicional con arquitectura republicana. Zona productora de café y panela. Acceso al Embalse Río Grande Sur.,"['Parque principal', 'Embalse Ríogrande Sur (acceso)', 'Cultivos de café', 'Miradores', 'Río Poblanco']","['Café', 'Frijoles', 'Chicharrón', 'Sancocho', 'Panela', 'Mazamorra']","['Fiestas patronales Santa Bárbara (diciembre)', 'Festival del Café']",Carretera departamental bien pavimentada.,facil,Cerca de Medellín. Buen punto de inicio para el Suroeste. Combinar con Fredonia.,30000,,2026-07-14 12:07:16.77151+00,santa barbara
santa-fe-ant,Santa Fe de Antioquia,Occidente,550,28,80,1h30min,"{'lat': 6.5565, 'lng': -75.8259}","Por la Autopista al Mar (Vía al Mar), salida por el túnel de Occidente desde Medellín. O por la vía antigua (más curvas y paisaje).","Fundada en 1541 por Jorge Robledo. Capital de Antioquia hasta 1826. La ciudad colonial más preservada de Antioquia, declarada Monumento Nacional. Sus calles empedradas, iglesias coloniales y arquitectura del siglo XVI-XIX la hacen única. Ciudad de clima cálido a orillas del río Cauca.","['Puente de Occidente (colgante, 1887)', 'Centro Histórico colonial', 'Catedral de la Inmaculada Concepción', 'Museo de Arte Religioso', 'Iglesia de Santa Bárbara', 'Parque Berrio', 'Río Cauca', 'Cementerio monumental', 'Museo Juan del Corral']","['Nogadas', 'Masato', 'Aguardiente antioqueño', 'Sancocho de gallina', 'Mondongo', 'Sopa de frisoles', 'Dulces coloniales', 'Chicharrón']","['Semana Santa (Patrimonio nacional)', 'Festival de Colonias (agosto)', 'Festival de cine', 'Feria agroindustrial']","Autopista al Mar doble calzada hasta el túnel, luego vía departamental en buen estado.",facil,"Vía rápida por el túnel (~1h). Si tienes tiempo, toma la vía vieja (La Pintada-Bolombolo-Santa Fe): curvas espectaculares pero más lenta (~2h30min). Santa Fe merece al menos una noche. Lleva ropa ligera: hace calor.",25000,Declarada Monumento Nacional. Ciudad colonial más importante de Antioquia.,2026-07-14 12:04:26.281938+00,santa fe de antioquia
santa-rosa,Santa Rosa de Osos,Norte,2550,13,75,1h30min,"{'lat': 6.6463, 'lng': -75.4616}","Autopista Norte hasta Barbosa, luego vía departamental bien pavimentada.","Fundada en 1636. Una de las ciudades más frías de Antioquia. Famosa por sus quesos artesanales, especialmente el quesito paisa y el queso azul. Ciudad con arquitectura republicana, basílica imponente y mercado de quesos famoso en toda Colombia. Altiplano norte.","['Basílica de Nuestra Señora del Rosario', 'Mercado de Quesos', 'Finca El Ciprés', 'Parque principal', 'Parque de los Periodistas', 'Cerro El Pozo', 'Embalse de Riogrande II (cerca)', 'Queso azul artesanal']","['Queso Santa Rosa (famoso en Colombia)', 'Queso azul artesanal', 'Mazamorra con panela', 'Sancocho', 'Chicharrón', 'Aguapanela con queso', 'Calentao', 'Caldo de costilla']","['Feria del Queso (septiembre)', 'Fiestas de la Virgen del Rosario (octubre)', 'Festival Cultural', 'Semana Santa solemne']","Vía departamental bien pavimentada, curvas moderadas.",facil,Santa Rosa es obligada para queso. El mercado de quesos sábados es espectacular. Lleva frío: temperatura entre 10-15°C. Los quesos artesanales son los mejores de Antioquia.,75000,Capital de la producción de quesos de Antioquia.,2026-07-14 12:05:42.236136+00,santa rosa de osos
santo-domingo,Santo Domingo,Nordeste,1750,18,95,2h,"{'lat': 6.4833, 'lng': -75.15}","Desde Medellín por la Autopista Norte, desvío por Barbosa hacia el nordeste.",Fundado en 1787. Municipio cafetero del Nordeste sur. Zona de ladera con producción de café de alta calidad. Parque principal conservado. Paisaje de montaña verde espectacular.,"['Parque principal', 'Cultivos de café especial', 'Miradores de montaña', 'Quebradas y ríos', 'Arquitectura colonial']","['Café especial', 'Frijoles', 'Mazamorra', 'Chicharrón', 'Sancocho']","['Fiestas patronales Santo Domingo de Guzmán (agosto)', 'Festival del Café']",Carretera departamental sinuosa.,media,Café de Santo Domingo es reconocido por su calidad. Los miradores hacia el Nordeste son impresionantes.,17000,,2026-07-14 12:08:51.077731+00,santo domingo
segovia,Segovia,Nordeste,550,27,190,4h,"{'lat': 7.0796, 'lng': -74.7024}",Desde Medellín por Yarumal-Valdivia o por Remedios.,Fundado en 1880. Municipio aurífero más importante de Antioquia y uno de los más ricos en oro del mundo. La mina de Frontino Gold Mines (hoy Gran Colombia Gold) ha producido oro durante siglos. Ciudad de economía minera activa. Zona históricamente conflictiva.,"['Minas de oro (Gran Colombia Gold)', 'Parque principal', 'Museo del Oro artesanal', 'Río Ité', 'Comercio de oro']","['Sancocho de gallina', 'Plátano', 'Yuca', 'Mojarra', 'Frutas tropicales']","['Fiestas del Minero (octubre)', 'Fiestas patronales', 'Festival Cultural']",Carretera con tramos sinuosos y algunos destapados.,dificil,Una de las zonas mineras de oro más ricas del mundo. Zona caliente (27-32°C). Llevar hidratación y gasolina extra. Consultar condiciones antes de viajar.,40000,Uno de los municipios auríferos más ricos de Colombia y del mundo.,2026-07-14 12:08:51.077731+00,segovia
sonson,Sonsón,Oriente,2450,14,120,2h30min,"{'lat': 5.7138, 'lng': -75.3063}","Desde Medellín por La Ceja-La Unión-Abejorral-Sonsón, o por Cocorná. Vía departamental.","Fundado en 1800. Uno de los municipios más altos y fríos del Oriente. Famosa por su arquitectura colonial conservada, su producción de quesos y su tradición de ruana. El Cerro Plateado y el Páramo de Sonsón son patrimonio natural.","['Parque principal colonial', 'Catedral de Sonsón', 'Cerro Plateado', 'Páramo de Sonsón', 'Cascada Los Frailes', 'Finca La Ceja', 'Museo de Arte Religioso']","['Queso Sonsón (famoso en Colombia)', 'Sancocho', 'Mazamorra con panela', 'Ruana de lana', 'Chicharrón', 'Calentao']","['Fiestas de la Virgen del Rosario (octubre)', 'Festival del Queso', 'Festival Cultural', 'Semana Santa solemne']",Carretera departamental con muchas curvas. Última parte a Sonsón exige buena técnica.,media,"Sonsón es de las rutas más bonitas del Oriente. Combina parque colonial, queso famoso y páramo. Temperatura muy fría (12-16°C): lleva chaqueta y guantes. El queso de Sonsón es un regalo perfecto.",35000,Famosa por su queso artesanal y su arquitectura colonial.,2026-07-14 12:03:11.391593+00,sonson
sopetran,Sopetrán,Occidente,700,26,70,1h20min,"{'lat': 6.5052, 'lng': -75.7437}",Por la vía que va a Santa Fe de Antioquia (Autopista al Mar y desvío).,"Fundado en 1616. Conocido como ""Tierra del Señor Caído"" por su milagrosa imagen. Municipio de tradición religiosa. Zona de paisajes del río Cauca y clima cálido. La imagen del Señor Caído atrae peregrinos de todo Antioquia.","['Santuario del Señor Caído', 'Parque principal', 'Río Cauca (miradores)', 'Semana de Peregrinación', 'Iglesia colonial', 'Balnearios del Cauca']","['Sancocho de gallina', 'Mondongo', 'Nogadas', 'Chicharrón', 'Aguardiente', 'Guarapo de caña']","['Festividades del Señor Caído (tercer viernes de enero)', 'Semana Santa', 'Fiestas patronales']","Autopista hasta desvío, luego vía en buen estado.",facil,Sopetrán y Santa Fe se pueden visitar el mismo día. El mirador sobre el Cauca es espectacular. Llevar ropa ligera.,25000,,2026-07-14 12:04:26.281938+00,sopetran
tamesis,Támesis,Suroeste,1750,18,100,2h,"{'lat': 5.6676, 'lng': -75.7201}",Desde Medellín por Fredonia-Jericó o por La Pintada-Valparaíso.,Fundado en 1858. Municipio cafetero con parque colonial bien conservado. Zona productora de aguacate y café. Cerro Cristo Rey ofrece una de las mejores panorámicas del Suroeste. Municipio tranquilo y auténtico.,"['Cerro Cristo Rey (panorámica)', 'Parque principal colonial', 'Haciendas cafeteras', 'Cascada La Playa', 'Cultivos de aguacate y café', 'Río Cartama']","['Café', 'Aguacate fresco', 'Sancocho de gallina', 'Frijoles', 'Mazamorra', 'Chicharrón']","['Fiestas patronales del Corazón de Jesús', 'Festival del Aguacate', 'Feria Cafetera']",Carretera departamental bien pavimentada.,media,El Cerro Cristo Rey de Támesis tiene una de las mejores vistas del Suroeste. Vale la pena la subida (15 min a pie).,17000,,2026-07-14 12:07:16.77151+00,tamesis
taraza,Tarazá,Bajo Cauca,60,33,250,5h,"{'lat': 7.5831, 'lng': -75.3969}",Desde Medellín por Caucasia o por Ituango.,"Fundado en 1912. Municipio del Bajo Cauca occidental. Zona de ganadería, minería y coca históricamente. En proceso de normalización. Cerca de la zona de Hidroituango.","['Río Cauca (zona Hidroituango)', 'Parque principal', 'Ganadería', 'Zonas naturales']","['Sancocho', 'Plátano', 'Yuca', 'Pescado', 'Carne asada']","['Fiestas patronales', 'Festival Campesino']",Carretera con tramos difíciles.,dificil,Zona en normalización. Consultar condiciones antes de viajar.,30000,,2026-07-14 12:08:51.077731+00,taraza
tarso,Tarso,Suroeste,1600,19,105,2h10min,"{'lat': 5.8077, 'lng': -75.8148}",Desde Medellín por Venecia o por Concordia.,"Fundado en 1902. Municipio cafetero del Suroeste. Zona de montaña verde con cafetales en ladera. Poco visitado, conserva autenticidad de pueblo paisa.","['Parque principal', 'Cultivos de café', 'Miradores', 'Cascadas']","['Café', 'Frijoles', 'Chicharrón', 'Sancocho']","['Fiestas patronales', 'Feria Cafetera']",Carretera departamental sinuosa.,media,Municipio auténtico del Suroeste. Sin masificación turística.,10000,,2026-07-14 12:07:16.77151+00,tarso
titiribi,Titiribí,Suroeste,1600,19,55,1h10min,"{'lat': 6.0705, 'lng': -75.7819}","Desde Medellín por Amagá, desvío hacia el occidente.",Fundado en 1814. Municipio minero histórico. Su arquitectura colonial bien conservada y su parque patrimonial son sus principales atractivos. Zona de montaña verde con minas de oro históricas.,"['Parque principal (Patrimonio Arquitectónico)', 'Iglesia colonial', 'Minas históricas', 'Quebradas', 'Mirador El Calvario']","['Frijoles', 'Mazamorra', 'Chicharrón', 'Café', 'Sancocho']","['Fiestas patronales San Bartolomé (agosto)', 'Festival Cultural']",Carretera departamental sinuosa.,media,Titiribí tiene uno de los parques coloniales mejor preservados del Suroeste. Visita muy recomendada.,12000,,2026-07-14 12:07:16.77151+00,titiribi
toledo-norte,Toledo,Norte,1700,19,220,5h,"{'lat': 6.7921, 'lng': -75.9284}",Desde Medellín por Ituango o por Dabeiba. Zona remota.,"Fundado en 1854. Municipio del noroccidente de Antioquia. Zona minera histórica y área agropecuaria. Zona de difícil acceso, frontera con Urabá y Córdoba.","['Parque principal', 'Ríos', 'Minas artesanales', 'Zonas naturales']","['Sancocho', 'Plátano', 'Frijoles', 'Frutas tropicales']",['Fiestas patronales'],Carretera con muchos tramos destapados.,muy_dificil,Zona muy remota. Acceso dificultoso. Solo moteros con preparación.,10000,,2026-07-14 12:05:42.236136+00,toledo
turbo,Turbo,Urabá,2,28,400,7h,"{'lat': 8.0971, 'lng': -76.7274}",Desde Medellín por la Autopista al Mar hasta el final. Turbo es el punto más alejado de Antioquia.,"Fundado en 1840. Puerto marítimo sobre el Golfo de Urabá, el único acceso de Antioquia al mar. Terminal marítimo hacia el Chocó (Capurganá, Acandí). Zona bananera y pesquera. Primer municipio colombiano en producir banano de exportación. Golfo de Urabá es Patrimonio Natural.","['Golfo de Urabá', 'Muelle de Turbo', 'Playas del Golfo', 'Terminal marítimo (lanchas al Chocó)', 'Manglares', 'Ciénaga Las Pavas', 'Playas de Punta Las Vacas']","['Mariscos del Caribe', 'Langosta', 'Cangrejo', 'Pescado del Golfo', 'Arroz con coco', 'Patacón', 'Cocadas', 'Sancocho de mariscos']","['Festival del Mar (julio)', 'Fiestas patronales Santiago Apóstol', 'Festival de Músicas del Caribe']",Autopista al Mar hasta el final.,media,"Turbo: fin de la ruta clásica de moto desde Medellín (400km). El Golfo de Urabá es el Mar Caribe. Desde aquí puedes tomar lancha a Capurganá, uno de los mejores destinos de Colombia. Llevar ropa de baño.",130000,Único puerto marítimo de Antioquia. Puerta al Caribe colombiano.,2026-07-14 12:09:50.678603+00,turbo
uramita,Uramita,Occidente,600,27,200,4h30min,"{'lat': 6.9165, 'lng': -76.1802}",Desde Medellín por Frontino o por Dabeiba.,"Fundado en 1983. Municipio joven del Occidente profundo. Zona de transición entre el Occidente y el Urabá. Clima cálido, selva tropical y ríos.","['Ríos', 'Selva tropical', 'Parque principal']","['Plátano', 'Sancocho', 'Frutas tropicales']",['Fiestas patronales'],Carretera departamental con tramos destapados.,muy_dificil,Zona de difícil acceso. Solo para moteros con experiencia en off-road.,9000,,2026-07-14 12:04:26.281938+00,uramita
urrao,Urrao,Suroeste,1870,17,170,3h30min,"{'lat': 6.3228, 'lng': -76.1395}",Desde Medellín por Caicedo (Occidente) o por Ciudad Bolívar.,"Fundado en 1814. Municipio del Suroeste occidental, zona de alta biodiversidad. El Parque Nacional Natural Las Orquídeas protege un bosque húmedo único con miles de especies de orquídeas. Zona de difícil acceso pero de extraordinaria belleza natural.","['Parque Nacional Natural Las Orquídeas', 'Río Penderisco', 'Cascadas naturales', 'Avistamiento de aves (+ de 400 especies)', 'Bosques húmedos tropicales', 'Comunidades indígenas']","['Plátano', 'Sancocho de gallina', 'Frutas tropicales', 'Café', 'Yuca']","['Fiestas patronales', 'Festival Ecológico de las Orquídeas']",Carretera con tramos sinuosos y algunos destapados.,dificil,Parque de Las Orquídeas: joya de biodiversidad. Llevar permiso del PNN. Zona lluviosa: poncho imprescindible. Temperatura variable.,40000,Entrada al Parque Nacional Natural Las Orquídeas.,2026-07-14 12:07:16.77151+00,urrao
valdivia,Valdivia,Norte,750,26,180,3h30min,"{'lat': 7.1773, 'lng': -75.4362}",Desde Medellín por Yarumal bajando hacia el Bajo Cauca.,Fundado en 1876. Municipio minero del Norte profundo. Zona aurífera con importante producción. Clima cálido por su baja altitud. Paso entre el Norte y el Bajo Cauca antioqueño.,"['Parque principal', 'Minas de oro', 'Río Cauca (zona)', 'Cascadas', 'Selva tropical']","['Sancocho de pescado', 'Plátano frito', 'Yuca', 'Mojarra', 'Frutas tropicales']","['Fiestas patronales', 'Festival del Minero']",Carretera sinuosa con tramos en diferentes estados.,dificil,Zona de minería activa. Vías con tráfico pesado de maquinaria. Llevar gasolina extra.,30000,,2026-07-14 12:05:42.236136+00,valdivia
valparaiso,Valparaíso,Suroeste,600,27,75,1h20min,"{'lat': 5.7277, 'lng': -75.6197}",Desde Medellín por La Pintada.,"Fundado en 1908. Municipio de clima cálido junto al río Cauca. Zona de balnearios y turismo de río. Producción de caña de azúcar, plátano y cacao. Gastronomía de río muy buena.","['Río Cauca (balnearios)', 'Cultivos tropicales', 'Parque principal', 'Zonas de baño natural']","['Mojarra frita', 'Sancocho de bagre', 'Plátano asado', 'Guarapo', 'Cacao artesanal']","['Fiestas del Río', 'Fiestas patronales']","Autopista hasta La Pintada, luego vía local.",facil,Zona caliente. Ideal para el baño en el río Cauca. Llevar ropa de baño.,12000,,2026-07-14 12:07:16.77151+00,valparaiso
vegachi,Vegachí,Nordeste,500,28,170,3h30min,"{'lat': 6.7724, 'lng': -74.806}",Desde Medellín por Gómez Plata y Amalfi.,Fundado en 1923. Municipio del Nordeste central. Zona minera y de economía mixta. Clima cálido. Zona de transición entre el Nordeste templado y el bajo Nordeste caliente.,"['Parque principal', 'Río Nechí', 'Minas', 'Zonas naturales']","['Sancocho', 'Plátano', 'Yuca', 'Frutas tropicales']",['Fiestas patronales'],"Carretera departamental, algunos tramos difíciles.",dificil,Zona caliente. Llevar gasolina.,15000,,2026-07-14 12:08:51.077731+00,vegachi
venecia,Venecia,Suroeste,1850,17,70,1h20min,"{'lat': 5.9537, 'lng': -75.7665}",Desde Medellín por Amagá-Titiribí-Venecia.,Fundado en 1880. Municipio cafetero del Suroeste central. Paisaje de montaña con cafetales en ladera. Zona de producción de panela y café. Poco turismo masivo pero de gran belleza.,"['Parque principal', 'Cultivos de café', 'Trapiches paneleros', 'Miradores de montaña', 'Quebradas']","['Panela', 'Café', 'Guarapo', 'Frijoles', 'Sancocho', 'Mazamorra']","['Fiestas patronales', 'Festival del Café y la Panela']",Carretera departamental con curvas pronunciadas.,media,Municipio tranquilo. La vía entre Titiribí y Venecia es de las más bonitas del Suroeste.,15000,,2026-07-14 12:07:16.77151+00,venecia
vigia-del-fuerte,Vigía del Fuerte,Urabá,30,28,430,10h,"{'lat': 6.6073, 'lng': -76.887}",Desde Medellín por Quibdó-Río Atrato o por avioneta desde Medellín.,Fundado en 1916. Municipio fluvial del Urabá a orillas del Atrato. Zona de selva húmeda tropical. Comunidades afrodescendientes. Acceso principalmente fluvial por el río Atrato.,"['Río Atrato', 'Selva tropical', 'Comunidades afro', 'Biodiversidad', 'Aves del Atrato']","['Pescado del Atrato', 'Plátano', 'Yuca', 'Frutas de selva']","['Fiestas patronales', 'Festividades afro']",Fluvial principalmente por el Atrato.,muy_dificil,Acceso fluvial o aéreo. No hay carretera convencional. Zona de selva amazónica pura.,8000,Municipio fluvial sobre el Atrato. Acceso por río o avión.,2026-07-14 12:09:50.678603+00,vigia del fuerte
yali,Yalí,Nordeste,600,26,155,3h15min,"{'lat': 6.9167, 'lng': -75.1}",Desde Medellín por Amalfi o por Anorí.,Fundado en 1936. Municipio pequeño del Nordeste. Zona cafetera y minera. Clima cálido-templado. Poco visitado turísticamente.,"['Parque principal', 'Cultivos de café', 'Minas artesanales', 'Quebradas']","['Café', 'Sancocho', 'Frijoles', 'Frutas tropicales']",['Fiestas patronales'],Carretera departamental.,dificil,Municipio pequeño y tranquilo del Nordeste.,8000,,2026-07-14 12:08:51.077731+00,yali
yarumal,Yarumal,Norte,2300,15,130,2h30min,"{'lat': 6.971, 'lng': -75.4195}",Autopista Norte desde Medellín por Barbosa-Santa Rosa de Osos-Yarumal.,"Fundado en 1787. Ciudad más importante del Norte antioqueño después de Santa Rosa. Centro de servicios para una amplia región. Frísuelo, arquitectura republicana y mercado regional activo. Importante nodo vial hacia el Nordeste, Bajo Cauca y la Costa.","['Parque principal', 'Catedral de Yarumal', 'Mercado campesino', 'Mirador El Alto', 'Quebrada Tenche', 'Iglesias históricas', 'Casa de la Cultura']","['Frijoles', 'Mazamorra con panela', 'Sancocho', 'Caldo de costilla', 'Chicharrón', 'Aguardiente', 'Cuajada']","['Fiestas patronales San Luis Bertrán (octubre)', 'Festival Cultural del Norte', 'Feria Agropecuaria']","Vía nacional en buen estado, doble calzada parcial.",facil,"Yarumal es el corazón del Norte. Buena oferta de gasolina, talleres y alimentación. Es el punto de decisión: ¿sigues al Nordeste? ¿Bajo Cauca? ¿Urabá?",80000,Nodo vial estratégico del Norte antioqueño.,2026-07-14 12:05:42.236136+00,yarumal
yolombo,Yolombó,Nordeste,1200,21,110,2h15min,"{'lat': 6.5993, 'lng': -75.0152}",Desde Medellín por la Autopista Norte-Barbosa-Santo Domingo.,"Fundado en 1737. Uno de los municipios más históricos del Nordeste. Zona minera histórica. Su nombre en lengua indígena significa ""lugar de las orquídeas"". Parque principal de arquitectura colonial. Zona cafetera.","['Parque principal colonial', 'Minas históricas', 'Cultivos de café', 'Cascadas', 'Río Yolombó']","['Frijoles', 'Café', 'Mazamorra', 'Chicharrón', 'Sancocho', 'Aguardiente']","['Fiestas patronales Nuestra Señora de la Paz', 'Festival Minero y Cultural']","Carretera departamental, buen estado general.",media,Yolombó tiene historia minera colonial rica. Excelente café de la zona. Buen parque central.,28000,"Nombre indígena: ""lugar de las orquídeas"". Zona minera histórica del Nordeste.",2026-07-14 12:08:51.077731+00,yolombo
yondo,Yondó,Magdalena Medio,130,32,220,4h30min,"{'lat': 6.7779, 'lng': -74.4375}",Desde Puerto Berrío hacia el norte por carretera departamental.,Fundado en 1977. Municipio joven del Magdalena Medio. Zona petrolera y ganadera. A orillas del Magdalena. Clima muy cálido. Zona de selva tropical y biodiversidad.,"['Río Magdalena', 'Petróleo (infraestructura)', 'Selva tropical', 'Ciénagas naturales', 'Avistamiento de fauna']","['Sancocho de pescado', 'Mojarra', 'Bagre', 'Plátano', 'Yuca']","['Fiestas patronales', 'Festival del Petróleo']","Carretera departamental, algunos tramos en regular estado.",dificil,Zona petrolera. Clima muy caliente. Llevar hidratación extra.,25000,,2026-07-14 12:08:51.077731+00,yondo
zaragoza,Zaragoza,Bajo Cauca,35,34,260,5h,"{'lat': 7.4934, 'lng': -74.868}",Desde Medellín por Yarumal-Valdivia-El Bagre o por Remedios.,Fundado en 1581. Uno de los municipios más antiguos de Antioquia. Zona aurífera histórica desde la colonia. El Bajo Cauca fue la región que más oro produjo en la Nueva Granada. Clima muy cálido. A orillas del río Nechí.,"['Río Nechí', 'Minas de oro históricas y actuales', 'Parque principal colonial', 'Puerto fluvial', 'Arquitectura histórica']","['Sancocho de pescado', 'Mojarra', 'Plátano', 'Yuca', 'Frutas tropicales']","['Fiestas patronales San Jerónimo (septiembre)', 'Festival del Minero y el Pescador']",Carretera nacional con algunos tramos difíciles.,dificil,Zona aurífera histórica desde 1581. Clima extremo 34-38°C. Zona en proceso de normalización posconflicto.,30000,Uno de los municipios más antiguos de Antioquia. Zona aurífera histórica desde 1581.,2026-07-14 12:08:51.077731+00,zaragoza
